Passager0;Survived;Pclass;Sex;Age;SibSp;Parch;Embarked
Passager202;0;3;1;0;8;2;1
Passager203;0;3;1;34;0;0;1
Passager204;0;3;1;45,5;0;0;2
Passager205;1;3;1;18;0;0;1
Passager206;0;3;0;2;0;1;1
Passager207;0;3;1;32;1;0;1
Passager208;1;3;1;26;0;0;2
Passager209;1;3;0;16;0;0;3
Passager210;1;1;1;40;0;0;2
Passager211;0;3;1;24;0;0;1
Passager212;1;2;0;35;0;0;1
Passager213;0;3;1;22;0;0;1
Passager214;0;2;1;30;0;0;1
Passager215;0;3;1;0;1;0;3
Passager216;1;1;0;31;1;0;2
Passager217;1;3;0;27;0;0;1
Passager218;0;2;1;42;1;0;1
Passager219;1;1;0;32;0;0;2
Passager220;0;2;1;30;0;0;1
Passager221;1;3;1;16;0;0;1
Passager222;0;2;1;27;0;0;1
Passager223;0;3;1;51;0;0;1
Passager224;0;3;1;0;0;0;1
Passager225;1;1;1;38;1;0;1
Passager226;0;3;1;22;0;0;1
Passager227;1;2;1;19;0;0;1
Passager228;0;3;1;20,5;0;0;1
Passager229;0;2;1;18;0;0;1
Passager230;0;3;0;0;3;1;1
Passager231;1;1;0;35;1;0;1
Passager232;0;3;1;29;0;0;1
Passager233;0;2;1;59;0;0;1
Passager234;1;3;0;5;4;2;1
Passager235;0;2;1;24;0;0;1
Passager236;0;3;0;0;0;0;1
Passager237;0;2;1;44;1;0;1
Passager238;1;2;0;8;0;2;1
Passager239;0;2;1;19;0;0;1
Passager240;0;2;1;33;0;0;1
Passager241;0;3;0;0;1;0;2
Passager242;1;3;0;0;1;0;3
Passager243;0;2;1;29;0;0;1
Passager244;0;3;1;22;0;0;1
Passager245;0;3;1;30;0;0;2
Passager246;0;1;1;44;2;0;3
Passager247;0;3;0;25;0;0;1
Passager248;1;2;0;24;0;2;1
Passager249;1;1;1;37;1;1;1
Passager250;0;2;1;54;1;0;1
Passager251;0;3;1;0;0;0;1
Passager252;0;3;0;29;1;1;1
Passager253;0;1;1;62;0;0;1
Passager254;0;3;1;30;1;0;1
Passager255;0;3;0;41;0;2;1
Passager256;1;3;0;29;0;2;2
Passager257;1;1;0;0;0;0;2
Passager258;1;1;0;30;0;0;1
Passager259;1;1;0;35;0;0;2
Passager260;1;2;0;50;0;1;1
Passager261;0;3;1;0;0;0;3
Passager262;1;3;1;3;4;2;1
Passager263;0;1;1;52;1;1;1
Passager264;0;1;1;40;0;0;1
Passager265;0;3;0;0;0;0;3
Passager266;0;2;1;36;0;0;1
Passager267;0;3;1;16;4;1;1
Passager268;1;3;1;25;1;0;1
Passager269;1;1;0;58;0;1;1
Passager270;1;1;0;35;0;0;1
Passager271;0;1;1;0;0;0;1
Passager272;1;3;1;25;0;0;1
Passager273;1;2;0;41;0;1;1
Passager274;0;1;1;37;0;1;2
Passager275;1;3;0;0;0;0;3
Passager276;1;1;0;63;1;0;1
Passager277;0;3;0;45;0;0;1
Passager278;0;2;1;0;0;0;1
Passager279;0;3;1;7;4;1;3
Passager280;1;3;0;35;1;1;1
Passager281;0;3;1;65;0;0;3
Passager282;0;3;1;28;0;0;1
Passager283;0;3;1;16;0;0;1
Passager284;1;3;1;19;0;0;1
Passager285;0;1;1;0;0;0;1
Passager286;0;3;1;33;0;0;2
Passager287;1;3;1;30;0;0;1
Passager288;0;3;1;22;0;0;1
Passager289;1;2;1;42;0;0;1
Passager290;1;3;0;22;0;0;3
Passager291;1;1;0;26;0;0;1
Passager292;1;1;0;19;1;0;2
Passager293;0;2;1;36;0;0;2
Passager294;0;3;0;24;0;0;1
Passager295;0;3;1;24;0;0;1
Passager296;0;1;1;0;0;0;2
Passager297;0;3;1;23,5;0;0;2
Passager298;0;1;0;2;1;2;1
Passager299;1;1;1;0;0;0;1
Passager300;1;1;0;50;0;1;2
Passager301;1;3;0;0;0;0;3
Passager302;1;3;1;0;2;0;3
Passager303;0;3;1;19;0;0;1
Passager304;1;2;0;0;0;0;3
Passager305;0;3;1;0;0;0;1
Passager306;1;1;1;0,92;1;2;1
Passager307;1;1;0;0;0;0;2
Passager308;1;1;0;17;1;0;2
Passager309;0;2;1;30;1;0;2
Passager310;1;1;0;30;0;0;2
Passager311;1;1;0;24;0;0;2
Passager312;1;1;0;18;2;2;2
Passager313;0;2;0;26;1;1;1
Passager314;0;3;1;28;0;0;1
Passager315;0;2;1;43;1;1;1
Passager316;1;3;0;26;0;0;1
Passager317;1;2;0;24;1;0;1
Passager318;0;2;1;54;0;0;1
Passager319;1;1;0;31;0;2;1
Passager320;1;1;0;40;1;1;2
Passager321;0;3;1;22;0;0;1
Passager322;0;3;1;27;0;0;1
Passager323;1;2;0;30;0;0;3
Passager324;1;2;0;22;1;1;1
Passager325;0;3;1;0;8;2;1
Passager326;1;1;0;36;0;0;2
Passager327;0;3;1;61;0;0;1
Passager328;1;2;0;36;0;0;1
Passager329;1;3;0;31;1;1;1
Passager330;1;1;0;16;0;1;2
Passager331;1;3;0;0;2;0;3
Passager332;0;1;1;45,5;0;0;1
Passager333;0;1;1;38;0;1;1
Passager334;0;3;1;16;2;0;1
Passager335;1;1;0;0;1;0;1
Passager336;0;3;1;0;0;0;1
Passager337;0;1;1;29;1;0;1
Passager338;1;1;0;41;0;0;2
Passager339;1;3;1;45;0;0;1
Passager340;0;1;1;45;0;0;1
Passager341;1;2;1;2;1;1;1
Passager342;1;1;0;24;3;2;1
Passager343;0;2;1;28;0;0;1
Passager344;0;2;1;25;0;0;1
Passager345;0;2;1;36;0;0;1
Passager346;1;2;0;24;0;0;1
Passager347;1;2;0;40;0;0;1
Passager348;1;3;0;0;1;0;1
Passager349;1;3;1;3;1;1;1
Passager350;0;3;1;42;0;0;1
Passager351;0;3;1;23;0;0;1
Passager352;0;1;1;0;0;0;1
Passager353;0;3;1;15;1;1;2
Passager354;0;3;1;25;1;0;1
Passager355;0;3;1;0;0;0;2
Passager356;0;3;1;28;0;0;1
Passager357;1;1;0;22;0;1;1
Passager358;0;2;0;38;0;0;1
Passager359;1;3;0;0;0;0;3
Passager360;1;3;0;0;0;0;3
Passager361;0;3;1;40;1;4;1
Passager362;0;2;1;29;1;0;2
Passager363;0;3;0;45;0;1;2
Passager364;0;3;1;35;0;0;1
Passager365;0;3;1;0;1;0;3
Passager366;0;3;1;30;0;0;1
Passager367;1;1;0;60;1;0;2
Passager368;1;3;0;0;0;0;2
Passager369;1;3;0;0;0;0;3
Passager370;1;1;0;24;0;0;2
Passager371;1;1;1;25;1;0;2
Passager372;0;3;1;18;1;0;1
Passager373;0;3;1;19;0;0;1
Passager374;0;1;1;22;0;0;2
Passager375;0;3;0;3;3;1;1
Passager376;1;1;0;0;1;0;2
Passager377;1;3;0;22;0;0;1
Passager378;0;1;1;27;0;2;2
Passager379;0;3;1;20;0;0;2
Passager380;0;3;1;19;0;0;1
Passager381;1;1;0;42;0;0;2
Passager382;1;3;0;1;0;2;2
Passager383;0;3;1;32;0;0;1
Passager384;1;1;0;35;1;0;1
Passager385;0;3;1;0;0;0;1
Passager386;0;2;1;18;0;0;1
Passager387;0;3;1;1;5;2;1
Passager388;1;2;0;36;0;0;1
Passager389;0;3;1;0;0;0;3
Passager390;1;2;0;17;0;0;2
Passager391;1;1;1;36;1;2;1
Passager392;1;3;1;21;0;0;1
Passager393;0;3;1;28;2;0;1
Passager394;1;1;0;23;1;0;2
Passager395;1;3;0;24;0;2;1
Passager396;0;3;1;22;0;0;1
Passager397;0;3;0;31;0;0;1
Passager398;0;2;1;46;0;0;1
Passager399;0;2;1;23;0;0;1
Passager400;1;2;0;28;0;0;1
Passager401;1;3;1;39;0;0;1
Passager402;0;3;1;26;0;0;1
Passager403;0;3;0;21;1;0;1
Passager404;0;3;1;28;1;0;1
Passager405;0;3;0;20;0;0;1
Passager406;0;2;1;34;1;0;1
Passager407;0;3;1;51;0;0;1
Passager408;1;2;1;3;1;1;1
Passager409;0;3;1;21;0;0;1
Passager410;0;3;0;0;3;1;1
Passager411;0;3;1;0;0;0;1
Passager412;0;3;1;0;0;0;3
Passager413;1;1;0;33;1;0;3
Passager414;0;2;1;0;0;0;1
Passager415;1;3;1;44;0;0;1
Passager416;0;3;0;0;0;0;1
Passager417;1;2;0;34;1;1;1
Passager418;1;2;0;18;0;2;1
Passager419;0;2;1;30;0;0;1
Passager420;0;3;0;10;0;2;1
Passager421;0;3;1;0;0;0;2
Passager422;0;3;1;21;0;0;3
Passager423;0;3;1;29;0;0;1
Passager424;0;3;0;28;1;1;1
Passager425;0;3;1;18;1;1;1
Passager426;0;3;1;0;0;0;1
Passager427;1;2;0;28;1;0;1
Passager428;1;2;0;19;0;0;1
Passager429;0;3;1;0;0;0;3
Passager430;1;3;1;32;0;0;1
Passager431;1;1;1;28;0;0;1
Passager432;1;3;0;0;1;0;1
Passager433;1;2;0;42;1;0;1
Passager434;0;3;1;17;0;0;1
Passager435;0;1;1;50;1;0;1
Passager436;1;1;0;14;1;2;1
Passager437;0;3;0;21;2;2;1
Passager438;1;2;0;24;2;3;1
Passager439;0;1;1;64;1;4;1
Passager440;0;2;1;31;0;0;1
Passager441;1;2;0;45;1;1;1
Passager442;0;3;1;20;0;0;1
Passager443;0;3;1;25;1;0;1
Passager444;1;2;0;28;0;0;1
Passager445;1;3;1;0;0;0;1
Passager446;1;1;1;4;0;2;1
Passager447;1;2;0;13;0;1;1
Passager448;1;1;1;34;0;0;1
Passager449;1;3;0;5;2;1;2
Passager450;1;1;1;52;0;0;1
Passager451;0;2;1;36;1;2;1
Passager452;0;3;1;0;1;0;1
Passager453;0;1;1;30;0;0;2
Passager454;1;1;1;49;1;0;2
Passager455;0;3;1;0;0;0;1
Passager456;1;3;1;29;0;0;2
Passager457;0;1;1;65;0;0;1
Passager458;1;1;0;0;1;0;1
Passager459;1;2;0;50;0;0;1
Passager460;0;3;1;0;0;0;3
Passager461;1;1;1;48;0;0;1
Passager462;0;3;1;34;0;0;1
Passager463;0;1;1;47;0;0;1
Passager464;0;2;1;48;0;0;1
Passager465;0;3;1;0;0;0;1
Passager466;0;3;1;38;0;0;1
Passager467;0;2;1;0;0;0;1
Passager468;0;1;1;56;0;0;1
Passager469;0;3;1;0;0;0;3
Passager470;1;3;0;0,75;2;1;2
Passager471;0;3;1;0;0;0;1
Passager472;0;3;1;38;0;0;1
Passager473;1;2;0;33;1;2;1
Passager474;1;2;0;23;0;0;2
Passager475;0;3;0;22;0;0;1
Passager476;0;1;1;0;0;0;1
Passager477;0;2;1;34;1;0;1
Passager478;0;3;1;29;1;0;1
Passager479;0;3;1;22;0;0;1
Passager480;1;3;0;2;0;1;1
Passager481;0;3;1;9;5;2;1
Passager482;0;2;1;0;0;0;1
Passager483;0;3;1;50;0;0;1
Passager484;1;3;0;63;0;0;1
Passager485;1;1;1;25;1;0;2
Passager486;0;3;0;0;3;1;1
Passager487;1;1;0;35;1;0;1
Passager488;0;1;1;58;0;0;2
Passager489;0;3;1;30;0;0;1
Passager490;1;3;1;9;1;1;1
Passager491;0;3;1;0;1;0;1
Passager492;0;3;1;21;0;0;1
Passager493;0;1;1;55;0;0;1
Passager494;0;1;1;71;0;0;2
Passager495;0;3;1;21;0;0;1
Passager496;0;3;1;0;0;0;2
Passager497;1;1;0;54;1;0;2
Passager498;0;3;1;0;0;0;1
Passager499;0;1;0;25;1;2;1
Passager500;0;3;1;24;0;0;1
Passager501;0;3;1;17;0;0;1
Passager502;0;3;0;21;0;0;3
Passager503;0;3;0;0;0;0;3
Passager504;0;3;0;37;0;0;1
Passager505;1;1;0;16;0;0;1
Passager506;0;1;1;18;1;0;2
Passager507;1;2;0;33;0;2;1
Passager508;1;1;1;0;0;0;1
Passager509;0;3;1;28;0;0;1
Passager510;1;3;1;26;0;0;1
Passager511;1;3;1;29;0;0;3
Passager512;0;3;1;0;0;0;1
Passager513;1;1;1;36;0;0;1
Passager514;1;1;0;54;1;0;2
Passager515;0;3;1;24;0;0;1
Passager516;0;1;1;47;0;0;1
Passager517;1;2;0;34;0;0;1
Passager518;0;3;1;0;0;0;3
Passager519;1;2;0;36;1;0;1
Passager520;0;3;1;32;0;0;1
Passager521;1;1;0;30;0;0;1
Passager522;0;3;1;22;0;0;1
Passager523;0;3;1;0;0;0;2
Passager524;1;1;0;44;0;1;2
Passager525;0;3;1;0;0;0;2
Passager526;0;3;1;40,5;0;0;3
Passager527;1;2;0;50;0;0;1
Passager528;0;1;1;0;0;0;1
Passager529;0;3;1;39;0;0;1
Passager530;0;2;1;23;2;1;1
Passager531;1;2;0;2;1;1;1
Passager532;0;3;1;0;0;0;2
Passager533;0;3;1;17;1;1;2
Passager534;1;3;0;0;0;2;2
Passager535;0;3;0;30;0;0;1
Passager536;1;2;0;7;0;2;1
Passager537;0;1;1;45;0;0;1
Passager538;1;1;0;30;0;0;2
Passager539;0;3;1;0;0;0;1
Passager540;1;1;0;22;0;2;2
Passager541;1;1;0;36;0;2;1
Passager542;0;3;0;9;4;2;1
Passager543;0;3;0;11;4;2;1
Passager544;1;2;1;32;1;0;1
Passager545;0;1;1;50;1;0;2
Passager546;0;1;1;64;0;0;1
Passager547;1;2;0;19;1;0;1
Passager548;1;2;1;0;0;0;2
Passager549;0;3;1;33;1;1;1
Passager550;1;2;1;8;1;1;1
Passager551;1;1;1;17;0;2;2
Passager552;0;2;1;27;0;0;1
Passager553;0;3;1;0;0;0;3
Passager554;1;3;1;22;0;0;2
Passager555;1;3;0;22;0;0;1
Passager556;0;1;1;62;0;0;1
Passager557;1;1;0;48;1;0;2
Passager558;0;1;1;0;0;0;2
Passager559;1;1;0;39;1;1;1
Passager560;1;3;0;36;1;0;1
Passager561;0;3;1;0;0;0;3
Passager562;0;3;1;40;0;0;1
Passager563;0;2;1;28;0;0;1
Passager564;0;3;1;0;0;0;1
Passager565;0;3;0;0;0;0;1
Passager566;0;3;1;24;2;0;1
Passager567;0;3;1;19;0;0;1
Passager568;0;3;0;29;0;4;1
Passager569;0;3;1;0;0;0;2
Passager570;1;3;1;32;0;0;1
Passager571;1;2;1;62;0;0;1
Passager572;1;1;0;53;2;0;1
Passager573;1;1;1;36;0;0;1
Passager574;1;3;0;0;0;0;3
Passager575;0;3;1;16;0;0;1
Passager576;0;3;1;19;0;0;1
Passager577;1;2;0;34;0;0;1
Passager578;1;1;0;39;1;0;1
Passager579;0;3;0;0;1;0;2
Passager580;1;3;1;32;0;0;1
Passager581;1;2;0;25;1;1;1
Passager582;1;1;0;39;1;1;2
Passager583;0;2;1;54;0;0;1
Passager584;0;1;1;36;0;0;2
Passager585;0;3;1;0;0;0;2
Passager586;1;1;0;18;0;2;1
Passager587;0;2;1;47;0;0;1
Passager588;1;1;1;60;1;1;2
Passager589;0;3;1;22;0;0;1
Passager590;0;3;1;0;0;0;1
Passager591;0;3;1;35;0;0;1
Passager592;1;1;0;52;1;0;2
Passager593;0;3;1;47;0;0;1
Passager594;0;3;0;0;0;2;3
Passager595;0;2;1;37;1;0;1
Passager596;0;3;1;36;1;1;1
Passager597;1;2;0;0;0;0;1
Passager598;0;3;1;49;0;0;1
Passager599;0;3;1;0;0;0;2
Passager600;1;1;1;49;1;0;2
Passager601;1;2;0;24;2;1;1
Passager602;0;3;1;0;0;0;1
Passager603;0;1;1;0;0;0;1
Passager604;0;3;1;44;0;0;1
Passager605;1;1;1;35;0;0;2
Passager606;0;3;1;36;1;0;1
Passager607;0;3;1;30;0;0;1
Passager608;1;1;1;27;0;0;1
Passager609;1;2;0;22;1;2;2
Passager610;1;1;0;40;0;0;1
Passager611;0;3;0;39;1;5;1
Passager612;0;3;1;0;0;0;1
Passager613;1;3;0;0;1;0;3
Passager614;0;3;1;0;0;0;3
Passager615;0;3;1;35;0;0;1
Passager616;1;2;0;24;1;2;1
Passager617;0;3;1;34;1;1;1
Passager618;0;3;0;26;1;0;1
Passager619;1;2;0;4;2;1;1
Passager620;0;2;1;26;0;0;1
Passager621;0;3;1;27;1;0;2
Passager622;1;1;1;42;1;0;1
Passager623;1;3;1;20;1;1;2
Passager624;0;3;1;21;0;0;1
Passager625;0;3;1;21;0;0;1
Passager626;0;1;1;61;0;0;1
Passager627;0;2;1;57;0;0;3
Passager628;1;1;0;21;0;0;1
Passager629;0;3;1;26;0;0;1
Passager630;0;3;1;0;0;0;3
Passager631;1;1;1;80;0;0;1
Passager632;0;3;1;51;0;0;1
Passager633;1;1;1;32;0;0;2
Passager634;0;1;1;0;0;0;1
Passager635;0;3;0;9;3;2;1
Passager636;1;2;0;28;0;0;1
Passager637;0;3;1;32;0;0;1
Passager638;0;2;1;31;1;1;1
Passager639;0;3;0;41;0;5;1
Passager640;0;3;1;0;1;0;1
Passager641;0;3;1;20;0;0;1
Passager642;1;1;0;24;0;0;2
Passager643;0;3;0;2;3;2;1
Passager644;1;3;1;0;0;0;1
Passager645;1;3;0;0,75;2;1;2
Passager646;1;1;1;48;1;0;2
Passager647;0;3;1;19;0;0;1
Passager648;1;1;1;56;0;0;2
Passager649;0;3;1;0;0;0;1
Passager650;1;3;0;23;0;0;1
Passager651;0;3;1;0;0;0;1
Passager652;1;2;0;18;0;1;1
Passager653;0;3;1;21;0;0;1
Passager654;1;3;0;0;0;0;3
Passager655;0;3;0;18;0;0;3
Passager656;0;2;1;24;2;0;1
Passager657;0;3;1;0;0;0;1
Passager658;0;3;0;32;1;1;3
Passager659;0;2;1;23;0;0;1
Passager660;0;1;1;58;0;2;2
Passager661;1;1;1;50;2;0;1
Passager662;0;3;1;40;0;0;2
Passager663;0;1;1;47;0;0;1
Passager664;0;3;1;36;0;0;1
Passager665;1;3;1;20;1;0;1
Passager666;0;2;1;32;2;0;1
Passager667;0;2;1;25;0;0;1
Passager668;0;3;1;0;0;0;1
Passager669;0;3;1;43;0;0;1
Passager670;1;1;0;0;1;0;1
Passager671;1;2;0;40;1;1;1
Passager672;0;1;1;31;1;0;1
Passager673;0;2;1;70;0;0;1
Passager674;1;2;1;31;0;0;1
Passager675;0;2;1;0;0;0;1
Passager676;0;3;1;18;0;0;1
Passager677;0;3;1;24,5;0;0;1
Passager678;1;3;0;18;0;0;1
Passager679;0;3;0;43;1;6;1
Passager680;1;1;1;36;0;1;2
Passager681;0;3;0;0;0;0;3
Passager682;1;1;1;27;0;0;2
Passager683;0;3;1;20;0;0;1
Passager684;0;3;1;14;5;2;1
Passager685;0;2;1;60;1;1;1
Passager686;0;2;1;25;1;2;2
Passager687;0;3;1;14;4;1;1
Passager688;0;3;1;19;0;0;1
Passager689;0;3;1;18;0;0;1
Passager690;1;1;0;15;0;1;1
Passager691;1;1;1;31;1;0;1
Passager692;1;3;0;4;0;1;2
Passager693;1;3;1;0;0;0;1
Passager694;0;3;1;25;0;0;2
Passager695;0;1;1;60;0;0;1
Passager696;0;2;1;52;0;0;1
Passager697;0;3;1;44;0;0;1
Passager698;1;3;0;0;0;0;3
Passager699;0;1;1;49;1;1;2
Passager700;0;3;1;42;0;0;1
Passager701;1;1;0;18;1;0;2
Passager702;1;1;1;35;0;0;1
Passager703;0;3;0;18;0;1;2
Passager704;0;3;1;25;0;0;3
Passager705;0;3;1;26;1;0;1
Passager706;0;2;1;39;0;0;1
Passager707;1;2;0;45;0;0;1
Passager708;1;1;1;42;0;0;1
Passager709;1;1;0;22;0;0;1
Passager710;1;3;1;0;1;1;2
Passager711;1;1;0;24;0;0;2
Passager712;0;1;1;0;0;0;1
Passager713;1;1;1;48;1;0;1
Passager714;0;3;1;29;0;0;1
Passager715;0;2;1;52;0;0;1
Passager716;0;3;1;19;0;0;1
Passager717;1;1;0;38;0;0;2
Passager718;1;2;0;27;0;0;1
Passager719;0;3;1;0;0;0;3
Passager720;0;3;1;33;0;0;1
Passager721;1;2;0;6;0;1;1
Passager722;0;3;1;17;1;0;1
Passager723;0;2;1;34;0;0;1
Passager724;0;2;1;50;0;0;1
Passager725;1;1;1;27;1;0;1
Passager726;0;3;1;20;0;0;1
Passager727;1;2;0;30;3;0;1
Passager728;1;3;0;0;0;0;3
Passager729;0;2;1;25;1;0;1
Passager730;0;3;0;25;1;0;1
Passager731;1;1;0;29;0;0;1
